Date,Count
20210219,8693
20210218,9349
20210217,9239
20210216,7739
20210215,7571
20210214,8421
20210213,9652
20210212,9596
20210211,8396
20210210,7322
20210209,8421
20210208,9063
20210207,10389
20210206,11524
20210205,11526
20210204,12760
20210203,11935
20210202,11778
20210201,12237
20210131,13861
20210130,14530
20210129,19567
20210128,17151
20210127,16108
20210126,12924
20210125,15410
20210124,20801
20210123,22635
20210122,27504
20210121,22829
20210120,25428
20210119,24345
20210118,27070
20210117,26761
20210116,29130
20210115,36941
20210114,34766
20210113,33054
20210112,33119
20210111,36498
20210110,42545
20210109,43222
20210108,47531
20210107,47168
20210106,55866
20210105,52350
20210104,58541
20210103,50757
20210102,51791
20210101,56596
20201231,56180
20201230,49492
20201229,51595
20201228,43093
20201227,32550
20201226,31663
20201225,34040
20201224,39702
20201223,39285
20201222,32934
20201221,33977
20201220,29217
20201219,19770
20201218,19902
20201217,19764
20201216,16590
20201215,17196
20201214,16174
20201213,13967
20201212,15190
20201211,15589
20201210,14414
20201209,11754
20201208,10978
20201207,11707
20201206,12573
20201205,11169
20201204,10058
20201203,10215
20201202,10311
20201201,8584
20201130,7964
20201129,8315
20201128,9232
20201127,10173
20201126,11029
20201125,11150
20201124,8117
20201123,11345
20201122,12464
20201121,13321
20201120,12346
20201119,14917
20201118,14274
20201117,14219
20201116,15841
20201115,16528
20201114,19558
20201113,19572
20201112,22727
20201111,20067
20201110,17554
20201109,19691
20201108,17429
20201107,23395
20201106,19387
20201105,32139
20201104,17566
20201103,17078
20201102,15342
20201101,17440
20201031,17328
20201030,18546
20201029,17731
20201028,20977
20201027,18192
20201026,15466
20201025,15946
20201024,17356
20201023,15461
20201022,17478
20201021,20584
20201020,23476
20201019,12021
20201018,15923
20201017,11345
20201016,13887
20201015,13368
20201014,17749
20201013,15986
20201012,11927
20201011,10333
20201010,12273
20201009,12764
20201008,14223
20201007,11869
20201006,11824
20201005,10216
20201004,9569
20201003,8615
20201002,7940
20201001,6526
20200930,5834
20200929,3411
20200928,1162
20200927,1040
20200926,417
20200925,40
20200924,0
20200923,8
20200922,0
20200921,0
20200920,0
20200919,0
20200918,2
20200917,1
20200916,0
20200915,0
20200914,0
